Position,MarketValue,Unrealized_PnL
COIN,124465.10,-95879.43
TONX,3471.00,-5462.28
ACN,4862.91,-4699.74
PYPL,8177.00,-3836.39
ADBE,5768.56,-2997.55
NKE,4784.00,-2990.66
MSFT,12200.10,-1154.47
META,10129.68,-1095.46
COUR,3408.00,-972.01
CAG,2808.00,-915.14
ARE,1653.60,-900.60
ORCL,1942.33,-823.89
LYFT,2281.50,-791.25
EPAM,800.30,-671.20
FIS,773.80,-601.40
ESTC,1139.00,-575.40
CMCSA,3645.00,-481.11
PEP,5958.51,-354.81
HIMS,1652.00,-341.35
GIS,1098.60,-331.20
DLB,781.80,-287.40
CVNA,956.40,-246.12
KHC,4235.00,-197.70
CRCL,5232.50,-46.90
MSCI,2790.00,-34.00
BTC,1997.99,-5.60
SOFI,1363.50,-0.89
CRM,1579.90,11.10
PFE,4878.00,69.75
BRK-B,4463.46,85.97
O,1254.00,121.26
CVX,2524.50,160.55
LNG,1215.00,186.59
IBKR,254.39,197.46
KO,1240.50,228.90
XOM,1358.30,237.80
SCHD,1597.50,268.00
VTR,1331.70,301.44
BMY,1463.25,373.31
AMD,537.15,381.27
KVUE,1907.00,401.00
DDOG,1240.00,434.10
JACK,1467.20,437.44
AMZN,3844.80,465.59
AAL,1783.00,548.23
TXN,1425.80,551.25
HRMY,2485.00,568.50
AVGO,6358.00,603.43
QCOM,7410.00,1028.91
RDDT,5232.00,1104.00
INTC,2626.60,1900.95
ASML,3800.80,2184.42
OUST,4229.60,2300.00
HOOD,11009.62,2459.92
TSLA,19173.65,5093.43
GOOG,15089.99,7420.20
MRVL,20834.25,14341.17
NEM,46435.67,25350.25
VOO,27932.89,7301.58
URNM,22802.43,4986.13
PHYS,15483.30,5352.65
RSP,12520.98,3251.66
VEA,11686.95,3323.32
XLE,11138.40,1950.29
EWZ,9629.92,2177.57
VWO,6805.70,305.31
ILF,5414.40,1822.64
GDX,5281.50,2717.89
GSY,5015.00,13.10
VHT,4234.02,742.88
ENOR,3145.00,889.00
SCHD,1597.50,268.00
VTR,1331.70,301.44
VXUS,1275.00,0.00
ROBO,1251.00,4.65
XLI,2745.00,460.50
PSLV,2143.60,799.09
SPLV,752.50,124.60
VSNT,216.72,-21.11
